date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:53:35	324163/324163	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2008:53:35%20GMT	https://preview.webcake.io/my-pham-va-sac-dep-11	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/my-pham-va-sac-dep-11.html	(from )
15:53:35	164/164	---M-Z	200	added ('OK')	text/plain	etag:%227C08E94%22	https://preview.webcake.io/robots.txt		(from )
15:53:35	1102/1102	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2008:53:36%20GMT	https://preview.webcake.io/pages/my-pham-va-sac-dep-11	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/pages/my-pham-va-sac-dep-11.html	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:37	35680/35680	---M--	200	added ('OK')	image/png	etag:d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	https://statics.pancake.vn/web-media/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	C:/My%20Web%20Sites/MyPham11/statics.pancake.vn/web-media/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:38	19216/19216	---M--	200	added ('OK')	image/webp	etag:ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	https://content.pancake.vn/1/s850x850/fwebp/3f/cf/a0/5a/ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s850x850/fwebp/3f/cf/a0/5a/ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:38	109715/109715	---M--	200	added ('OK')	image/png	etag:ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	https://content.pancake.vn/1/s850x850/3f/cf/a0/5a/ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s850x850/3f/cf/a0/5a/ab2e7f67d572e29144fdbf01b643df5d356d4eed25749d525a6db1c3.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:38	3438/3438	---M--	200	added ('OK')	image/webp	etag:cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	https://content.pancake.vn/1/s450x350/fwebp/2a/d8/08/9d/cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s450x350/fwebp/2a/d8/08/9d/cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:38	3349/3349	---M--	200	added ('OK')	image/png	etag:cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	https://content.pancake.vn/1/s450x350/2a/d8/08/9d/cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s450x350/2a/d8/08/9d/cda2ffffd289bd7249b5d02318534c188f0d22e06ad25819c9a7899b.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:39	30724/30724	---M--	200	added ('OK')	image/webp	etag:3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	https://content.pancake.vn/1/s550x700/fwebp/90/74/ec/a8/3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x700/fwebp/90/74/ec/a8/3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:39	350014/350014	---M--	200	added ('OK')	image/png	etag:3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	https://content.pancake.vn/1/s550x700/90/74/ec/a8/3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x700/90/74/ec/a8/3f6d37e6759098170da72b6aa566536d7145670f0f01678e4052cddc.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:39	2610/2610	---M--	200	added ('OK')	image/webp	etag:6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	https://content.pancake.vn/1/s550x650/fwebp/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/fwebp/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
15:53:39	21671/21671	---M--	200	added ('OK')	image/png	etag:6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	https://content.pancake.vn/1/s550x650/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	C:/My%20Web%20Sites/MyPham11/content.pancake.vn/1/s550x650/f8/bb/09/7e/6cbece4e4a2680797db0acce15445b985c33934b5b60fdb1baf0df5e.png	(from https://preview.webcake.io/my-pham-va-sac-dep-11)
